"id"	"title"
"A01B"	"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL "
"A01C"	"PLANTING; SOWING; FERTILISING "
"A01D"	"HARVESTING; MOWING"
"A01F"	"PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE "
"A01G"	"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING "
"A01H"	"NEW PLANTS OR ; NON-TRANSGENIC;  PROCESSES FOR OBTAINING THEM; PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES"
"A01J"	"MANUFACTURE OF DAIRY PRODUCTS "
"A01K"	"ANIMAL HUSBANDRY; CARE OF BIRDS, FISHES, INSECTS; FISHING; REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR; NEW BREEDS OF ANIMALS"
"A01L"	"SHOEING OF ANIMALS"
"A01M"	"CATCHING, TRAPPING OR SCARING OF ANIMALS ; APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS"
"A01N"	"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF ; BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES ; PEST REPELLANTS OR ATTRACTANTS; PLANT GROWTH REGULATORS"
"A01P"	"BIOCIDAL, PEST REPELLANT, PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS"
"A21B"	"BAKERS' OVENS; MACHINES OR EQUIPMENT FOR BAKING "
"A21C"	"MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS; HANDLING BAKED ARTICLES MADE FROM DOUGH"
"A21D"	"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS; BAKING; BAKERY PRODUCTS; PRESERVATION THEREOF"
"A22B"	"SLAUGHTERING"
"A22C"	"PROCESSING MEAT, POULTRY, OR FISH "
"A23B"	"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS; CHEMICAL RIPENING OF FRUIT OR VEGETABLES; THE PRESERVED, RIPENED, OR CANNED PRODUCTS"
"A23C"	"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE; MILK OR CHEESE SUBSTITUTES; MAKING THEREOF "
"A23D"	"EDIBLE OILS OR FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS "
"A23F"	"COFFEE; TEA; THEIR SUBSTITUTES; MANUFACTURE, PREPARATION, OR INFUSION THEREOF"
"A23G"	"COCOA; COCOA PRODUCTS, e.g. CHOCOLATE; SUBSTITUTES FOR COCOA OR COCOA PRODUCTS; CONFECTIONERY; CHEWING GUM; ICE-CREAM; PREPARATION THEREOF"
"A23J"	"PROTEIN COMPOSITIONS FOR FOODSTUFFS; WORKING-UP PROTEINS FOR FOODSTUFFS; PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS"
"A23K"	"FODDER"
"A23L"	"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B - A23J; THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT ; PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL"
"A23N"	"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR; PEELING VEGETABLES OR FRUIT IN BULK; APPARATUS FOR PREPARING ANIMAL FEEDING- STUFFS "
"A23P"	"SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS"
"A23V"	"INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES"
"A23Y"	"INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION"
"A24B"	"MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING; TOBACCO; SNUFF"
"A24C"	"MACHINES FOR MAKING CIGARS OR CIGARETTES"
"A24D"	"CIGARS; CIGARETTES; TOBACCO SMOKE FILTERS; MOUTHPIECES FOR CIGARS OR CIGARETTES; MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES"
"A24F"	"SMOKERS' REQUISITES; MATCH BOXES; SIMULATED SMOKING DEVICES "
"A41B"	"SHIRTS; UNDERWEAR; BABY LINEN; HANDKERCHIEFS"
"A41C"	"CORSETS; BRASSIERES"
"A41D"	"OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES"
"A41F"	"GARMENT FASTENINGS; SUSPENDERS"
"A41G"	"ARTIFICIAL FLOWERS; WIGS; MASKS; FEATHERS"
"A41H"	"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR "
"A42B"	"HATS; HEAD COVERINGS "
"A42C"	"MANUFACTURING OR TRIMMING HEAD COVERINGS, e.g. HATS"
"A43B"	"CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR"
"A43C"	"FASTENINGS OR ATTACHMENTS OF FOOTWEAR; LACES IN GENERAL"
