Code,Title,Description,ItemDescriptions,CrossReferences
111110,Soybean Farming,"This industry comprises establishments primarily engaged in growing soybeans and/or producing soybean seeds.

Cross-References.","Soybean farming, field and seed production","Establishments engaged in growing soybeans in combination with grain(s) with the soybeans or grain(s) not accounting for one-half of the establishment's agricultural production (value of crops for market) are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
111120,Oilseed (except Soybean) Farming ,"This industry comprises establishments primarily engaged in growing fibrous oilseed producing plants and/or producing oilseed seeds, such as sunflower, safflower, flax, rape, canola, and sesame.

Cross-References. Establishments primarily engaged in--","Canola farming, field and seed production Flaxseed farming, field and seed production Mustard seed farming, field and seed production Oilseed farming (except soybean), field and seed production Rapeseed farming, field and seed production Safflower farming, field and seed production Sesame farming, field and seed production Sunflower farming, field and seed production","Growing soybeans--are classified in Industry 111110, Soybean Farming; and Growing oilseed(s) in combination with grain(s) with no one oilseed (or family of oilseeds) or grain(s) (or family of grains) accounting for one-half of the establishment's agricultural production (value of crops for market)--are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
111130,Dry Pea and Bean Farming ,"This industry comprises establishments primarily engaged in growing dry peas, beans, and/or lentils.

Cross-References.","Bean farming, dry, field and seed production Cowpea farming, dry, field and seed production Garbanzo farming, dry, field and seed production Lentil farming, dry, field and seed production Lima bean farming, dry, field and seed production Pea farming, dry, field and seed production","Establishments primarily engaged in growing fresh green beans and peas are classified in U.S. Industry 111219, Other Vegetable (except Potato) and Melon Farming."
111140,Wheat Farming,"This industry comprises establishments primarily engaged in growing wheat and/or producing wheat seeds.

Cross-References.","Wheat farming, field and seed production","Establishments growing wheat in combination with oilseed(s) with the wheat or oilseed(s) not accounting for one-half of the establishment's agricultural production (value of crops for market) are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
111150,Corn Farming ,"This industry comprises establishments primarily engaged in growing corn (except sweet corn) and/or producing corn seeds.

Cross-References. Establishments primarily engaged in--","Corn farming (except sweet corn), field and seed production Popcorn farming, field and seed production","Growing sweet corn--are classified in U.S. Industry 111219, Other Vegetable (except Potato) and Melon Farming; and Growing corn in combination with oilseed(s) with the corn or oilseed(s) not accounting for one-half of the establishment's production (value of crops for market)--are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
111160,Rice Farming,"This industry comprises establishments primarily engaged in growing rice (except wild rice) and/or producing rice seeds.

Cross-References. Establishments primarily engaged in--","Rice (except wild rice) farming, field and seed production","Growing wild rice--are classified in U.S. Industry 111199, All Other Grain Farming; and Growing rice in combination with oilseed(s) with the rice or oilseed(s) not accounting for one-half of the establishment's agricultural production (value of crops for market)--are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
111191,Oilseed and Grain Combination Farming ,"This U.S. industry comprises establishments engaged in growing a combination of oilseed(s) and grain(s) with no one oilseed (or family of oilseeds) or grain (or family of grains) accounting for one-half of the establishment's agricultural production (value of crops for market).  These establishments may produce oilseed(s) and grain(s) seeds and/or grow oilseed(s) and grain(s).

Cross-References.","Oilseed and grain combination farming, field and seed production","Establishments engaged in growing one grain (or family of grains) or oilseed (or family of oilseeds) accounting for one-half of the establishment's agricultural production (i.e., value of crops for market) are classified in Industry Group 1111, Oilseed and Grain Farming, accordingly by the prominent grain(s) or oilseed(s) grown."
111199,All Other Grain Farming ,"This U.S. industry comprises establishments primarily engaged in growing grains and/or producing grain(s) seeds (except wheat, corn, rice, and oilseed(s) and grain(s) combinations).

Illustrative Examples:

Barley farming
Sorghum farming
Oat farming
Wild rice farming
Rye farming


Cross-References. Establishments primarily engaged in--","Barley farming, field and seed production Broomcorn farming Buckwheat farming Milo farming, field and seed production Oat farming, field and seed production Rye farming, field and seed production Sorghum farming, field and seed production Wild rice farming, field and seed production","Growing wheat--are classified in Industry 111140, Wheat Farming; Growing corn (except sweet corn)--are classified in Industry 111150, Corn Farming; Growing rice (except wild rice)--are classified in Industry 111160, Rice Farming; Growing sweet corn--are classified in U.S. Industry 111219, Other Vegetable (except Potato) and Melon Farming; and Growing a combination of grain(s) and oilseed(s) with no one grain (or family of grains) or oilseed (or family of oilseeds) accounting for one-half of the establishment's agricultural production (value of crops for market)--are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming."
111211,Potato Farming ,"This U.S. industry comprises establishments primarily engaged in growing potatoes and/or producing seed potatoes.

Cross-References.","Potato farming, field and seed potato production Sweet potato farming, field and seed potato production Vegetable and melon farming, potato dominant crop, field and seed production Vegetable and potato farming, potato dominant crop, field and seed potato production Yam farming, field and seed production","Establishments primarily engaged in canning or drying potatoes are classified in Industry 31142, Fruit and Vegetable Canning, Pickling, and Drying."
111219,Other Vegetable (except Potato) and Melon Farming ,"This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) growing melons and/or vegetables (except potatoes; dry peas; dry beans; field, silage, or seed corn; and sugar beets); (2) producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding plants.

Illustrative Examples:

Carrot farming
Squash farming
Green bean farming
Tomato farming
Watermelon farming 
Melon farming (e.g., cantaloupe, casaba, honeydew, watermelon)
Vegetable (except potato) farming
Pepper farming (e.g., bell, chili, green, red, sweet peppers)


Cross-References. Establishments primarily engaged in--","Acorn squash farming, field, bedding plant and seed production Artichoke farming, field, bedding plant and seed production Asparagus farming, field, bedding plant and seed production Bean (except dry) farming, field and seed production Beet farming (except sugar beets), field, bedding plant and seed production Broccoli farming, field, bedding plant and seed production Brussel sprout farming, field, bedding plant and seed production Butternut squash farming, field, bedding plant and seed production Cabbage farming, field, bedding plant and seed production Cantaloupe farming, field, bedding plant and seed production Carrot farming, field, bedding plant and seed production Casaba melon farming, field, bedding plant and seed production Cassava farming, field and seed production Cauliflower farming, field, bedding plant and seed production Celery farming, field, bedding plant and seed production Chinese pea farming, bedding plant and seed production Chive farming, field, bedding plant and seed production Collard farming, field, bedding plant and seed production Cowpea (except dry) farming, field and seed production Crenshaw melon farming, field, bedding plant and seed production Cucumber farming (except under cover), field, bedding plant and seed production Dill farming, field and seed production Eggplant farming (except under cover), field, bedding plant and seed production Endive farming (except under cover), field, bedding plant and seed production English pea farming (except under cover), field, bedding plant and seed production Escarole farming (except under cover), field, bedding plant and seed production Garlic farming (except under cover), field, bedding plant and seed production Gingerroot farming (except under cover), field, bedding plant and seed production Ginseng farming (except under cover), field, bedding plant and seed production Green bean farming, field and seed production Green cowpea farming, field and seed production Green lima bean farming, field and seed production Green pea farming, field and seed production Honeydew melon farming, field, bedding plant and seed production Kale farming, field, bedding plant and seed production Leek farming, field, bedding plant and seed production Lettuce farming, field, bedding plant and seed production Melon farming (e.g., cantaloupe, casaba, honeydew, watermelon), field, bedding plant and seed production Muskmelon farming, field, bedding plant and seed production Okra farming, field, bedding plant and seed production Onion farming, field, bedding plant and seed production Parsley farming, field, bedding plant and seed production Parsnip farming, field, bedding plant and seed production Pea (except dry) farming, field and seed production Pepper (e.g., bell, chili, green, hot, red, sweet) farming Pumpkin farming, field and seed production Radish farming, field and seed production Rhubarb farming, field and seed production Romaine lettuce farming, field and seed production Rutabaga farming, field and seed production Shallot farming, field and seed production Snap bean farming (i.e., bush and pole), field and seed production Snow pea farming, field and seed production Spaghetti squash farming, field, bedding plant and seed production Spinach farming, field, bedding plant and seed production Squash farming, field, bedding plant and seed production String bean farming, field and seed production Sweet corn farming, field and seed production Sweet pepper farming, field, bedding plant and seed production Taro farming, field and seed production Tomato farming (except under cover), field, bedding plant and seed production Truck farming, field, bedding plant and seed production Turnip farming, field, bedding plant and seed production Vegetable and melon farming, vegetable (except potato) and melon dominant crops, field, bedding plants and seed production Vegetable and potato farming, vegetable (except potato) dominant crops, field, bedding plants and seed production Watermelon farming, field, bedding plant and seed production Zucchini farming, field, bedding plant and seed production","Growing potatoes, including sweet potatoes and yams--are classified in U.S. Industry 111211, Potato Farming; Growing sugar beets--are classified in U.S. Industry 111991, Sugar Beet Farming; Growing vegetables and melons under glass or protective cover--are classified in U.S. Industry 111419, Other Food Crops Grown Under Cover; Growing dry peas and beans--are classified in Industry 111130, Dry Pea and Bean Farming; Growing corn (except sweet corn)--are classified in Industry 111150, Corn Farming; Canning, pickling, and/or drying (artificially) vegetables--are classified in Industry 31142, Fruit and Vegetable Canning, Pickling, and Drying; and Growing fruit on trees and other fruit-bearing plants (except melons)--are classified in Industry Group 1113, Fruit and Tree Nut Farming."
